Policy Name,Customer Age,Occupation,Income,Education,Marital Status,Tenure (Years),Premium (INR),Coverage (INR),Family Size,Gender,Region,Policy Type
Jeevan Shanti,25,Engineer,163873,Diploma,Divorced,4,36709,175451,2,Male,North,Travel
Jeevan Amar,46,Farmer,127019,High School,Divorced,25,8922,211893,7,Male,West,Motor
Jeevan Lakshya,62,Unemployed,53007,Doctorate,Single,30,17120,369508,5,Other,East,Health
Jeevan Amar,38,Doctor,33546,Diploma,Widowed,12,6278,246313,10,Other,East,Motor
Jeevan Labh,40,Retired,141100,High School,Single,26,44532,223661,4,Male,West,Life
Jeevan Tarun,63,Unemployed,197520,Graduate,Married,11,31334,415938,5,Female,South,Motor
Jeevan Arogya,65,Retired,148987,High School,Single,20,24257,265626,3,Other,Central,Personal Accident
Jeevan Tarun,54,Engineer,80439,Graduate,Married,21,13818,450817,2,Male,East,Personal Accident
Jeevan Nidhi,61,Retired,42238,High School,Widowed,29,27733,439813,10,Male,East,Personal Accident
Jeevan Nidhi,54,Teacher,172445,Diploma,Single,2,22122,461245,9,Male,West,Agricultural
Jeevan Amar,59,Doctor,145784,Post Graduate,Widowed,19,18998,421127,10,Other,Central,Agricultural
Jeevan Nidhi,27,Retired,94077,Doctorate,Widowed,28,34962,352322,7,Female,West,Agricultural
Jeevan Labh,18,Engineer,194735,Graduate,Married,14,49663,489309,10,Other,North,Health
Jeevan Rakshak,37,Engineer,118975,Doctorate,Single,3,39041,285289,8,Other,West,Health
Jeevan Amar,24,Teacher,162298,Diploma,Single,20,25093,163291,6,Other,East,Health
Jeevan Nidhi,48,Retired,35660,Doctorate,Widowed,14,45160,433985,5,Female,South,Commercial
Jeevan Amar,34,Engineer,116740,Doctorate,Married,27,49116,499076,5,Female,East,Travel
Jeevan Nidhi,61,Retired,144924,Post Graduate,Married,19,44117,477960,1,Other,South,Life
Jeevan Anand,41,Business,191343,Graduate,Single,9,43328,223183,7,Male,Central,Motor
Jeevan Rakshak,41,Engineer,166265,Post Graduate,Married,8,14631,258583,8,Female,East,Agricultural
Jeevan Umang,52,Retired,37233,Post Graduate,Divorced,2,42135,321607,9,Female,West,Health
Jeevan Tarun,56,Student,96517,Post Graduate,Single,21,26361,468757,6,Female,West,Agricultural
Jeevan Amar,60,Retired,48577,Doctorate,Widowed,19,44984,402567,9,Female,West,Agricultural
Jeevan Arogya,48,Unemployed,102677,Doctorate,Married,27,24174,284007,1,Male,West,Commercial
Jeevan Nidhi,40,Student,84311,Graduate,Divorced,5,32909,129985,2,Male,Central,Motor
Jeevan Nidhi,51,Student,167168,Doctorate,Married,27,19657,211188,10,Male,West,Travel
Jeevan Tarun,32,Retired,131625,Graduate,Divorced,1,49894,300534,5,Female,South,Personal Accident
Jeevan Nidhi,54,Business,198187,Diploma,Widowed,13,35506,487079,10,Other,East,Commercial
Jeevan Anand,65,Farmer,40817,Graduate,Divorced,15,19160,426410,5,Male,Central,Health
Jeevan Arogya,24,Unemployed,52055,Doctorate,Divorced,24,11960,183356,7,Male,Central,Personal Accident
Jeevan Arogya,61,Student,38622,Doctorate,Divorced,7,42785,261898,4,Other,South,Health
Jeevan Tarun,25,Retired,147151,Diploma,Single,9,25703,214567,3,Male,North,Commercial
Jeevan Umang,28,Doctor,67032,Graduate,Widowed,25,9106,393363,8,Female,Central,Commercial
Jeevan Arogya,35,Doctor,73893,Post Graduate,Married,11,41606,185900,8,Female,Central,Travel
Jeevan Anand,55,Student,64225,High School,Widowed,17,32956,363711,4,Female,Central,Health
Jeevan Tarun,27,Doctor,185433,High School,Married,11,44861,392037,3,Other,East,Health
Jeevan Tarun,65,Teacher,61691,Graduate,Single,29,19266,446237,1,Other,South,Travel
Jeevan Lakshya,54,Retired,60120,Diploma,Divorced,2,13998,270500,5,Other,East,Health
Jeevan Arogya,64,Business,100555,Graduate,Widowed,28,13609,173183,7,Other,North,Agricultural
Jeevan Shanti,24,Unemployed,31153,Diploma,Widowed,15,36933,265487,9,Other,South,Agricultural
Jeevan Labh,41,Farmer,101707,Post Graduate,Divorced,2,48377,234817,9,Female,East,Health
Jeevan Tarun,62,Engineer,119012,Graduate,Divorced,16,30719,282196,2,Female,South,Personal Accident
Jeevan Rakshak,21,Business,60478,Graduate,Divorced,2,16544,240375,3,Male,Central,Personal Accident
Jeevan Nidhi,44,Unemployed,140074,Graduate,Single,20,36976,455060,10,Female,East,Motor
Jeevan Lakshya,47,Engineer,89790,Graduate,Widowed,4,43958,264818,2,Male,East,Personal Accident
Jeevan Amar,21,Farmer,182929,High School,Widowed,7,18175,222203,2,Female,South,Personal Accident
Jeevan Labh,57,Unemployed,86780,Graduate,Widowed,2,47483,322138,8,Other,West,Motor
Jeevan Nidhi,19,Retired,42536,Diploma,Single,26,22207,256553,9,Other,North,Commercial
Jeevan Arogya,19,Retired,175289,Diploma,Married,13,43506,221019,1,Other,South,Life
Jeevan Labh,31,Unemployed,86240,Post Graduate,Widowed,20,43421,191921,10,Male,North,Personal Accident
Jeevan Labh,20,Engineer,61176,Diploma,Widowed,17,42315,234435,10,Male,South,Life
Jeevan Arogya,32,Business,153265,Diploma,Divorced,3,46085,269242,7,Male,North,Motor
Jeevan Rakshak,21,Retired,135594,Post Graduate,Widowed,10,19955,246045,2,Male,Central,Health
Jeevan Lakshya,49,Doctor,90106,Diploma,Widowed,14,13905,443133,3,Other,South,Travel
Jeevan Anand,39,Doctor,114283,Graduate,Divorced,30,40406,419145,3,Other,North,Life
Jeevan Amar,44,Unemployed,92224,Diploma,Married,13,15678,237515,8,Other,East,Commercial
Jeevan Shanti,54,Doctor,179504,Doctorate,Single,22,20505,335211,2,Female,Central,Health
Jeevan Labh,35,Business,77284,Post Graduate,Widowed,9,35718,430036,10,Other,East,Agricultural
Jeevan Umang,35,Engineer,138657,High School,Single,28,13379,263334,8,Female,Central,Health
Jeevan Labh,49,Unemployed,48259,Diploma,Married,30,27589,130617,5,Other,Central,Personal Accident
Jeevan Nidhi,50,Business,91874,High School,Divorced,20,17429,279140,7,Female,South,Life
Jeevan Shanti,26,Doctor,119977,Diploma,Divorced,21,42738,414065,2,Other,Central,Health
Jeevan Arogya,43,Retired,64988,High School,Widowed,21,9027,139443,8,Other,East,Commercial
Jeevan Umang,28,Retired,76092,Doctorate,Widowed,19,16604,285620,9,Female,South,Health
Jeevan Shanti,21,Engineer,146773,Graduate,Single,15,26588,351028,9,Male,Central,Health
Jeevan Rakshak,53,Doctor,199378,Doctorate,Married,13,33135,170517,10,Other,South,Life
Jeevan Arogya,42,Doctor,152591,Diploma,Divorced,15,23509,344620,7,Female,South,Travel
Jeevan Lakshya,41,Unemployed,139014,Graduate,Widowed,15,46239,467568,6,Female,North,Personal Accident
Jeevan Arogya,33,Doctor,175341,High School,Widowed,4,38109,229129,10,Other,West,Health
Jeevan Nidhi,54,Engineer,107260,Post Graduate,Divorced,14,30034,398746,2,Male,East,Agricultural
Jeevan Labh,64,Unemployed,61038,Diploma,Divorced,2,47718,146330,8,Female,North,Home
Jeevan Tarun,25,Business,49710,Graduate,Single,9,40141,451952,3,Male,South,Health
Jeevan Shanti,53,Doctor,197140,Diploma,Single,21,23733,366115,3,Male,East,Life
Jeevan Lakshya,37,Business,95290,Post Graduate,Widowed,3,18042,327217,2,Female,South,Health
Jeevan Umang,37,Business,189478,High School,Divorced,27,48153,345437,8,Male,South,Motor
Jeevan Arogya,65,Business,150897,High School,Divorced,25,28610,231490,4,Other,Central,Agricultural
Jeevan Arogya,41,Unemployed,178738,High School,Widowed,9,41912,384829,5,Male,Central,Home
Jeevan Anand,41,Unemployed,117054,Post Graduate,Single,12,46489,139684,3,Other,North,Home
Jeevan Amar,49,Unemployed,83809,Post Graduate,Single,7,22612,388150,6,Female,East,Motor
Jeevan Nidhi,57,Student,179446,High School,Divorced,19,21551,251403,8,Other,West,Personal Accident
Jeevan Rakshak,36,Doctor,153038,Diploma,Divorced,20,21787,172768,8,Male,South,Travel
Jeevan Tarun,43,Teacher,115087,High School,Married,23,47288,414803,1,Male,Central,Home
Jeevan Arogya,54,Unemployed,39803,Doctorate,Divorced,29,34430,107564,9,Male,West,Agricultural
Jeevan Rakshak,64,Business,118164,Graduate,Single,18,29794,112471,3,Male,South,Motor
Jeevan Rakshak,59,Business,121219,High School,Single,17,34108,118219,8,Female,South,Agricultural
Jeevan Tarun,61,Teacher,84052,Graduate,Divorced,12,13670,111840,6,Other,North,Home
Jeevan Amar,44,Retired,161105,Doctorate,Divorced,3,48611,307381,6,Other,Central,Agricultural
Jeevan Labh,51,Teacher,80669,Diploma,Single,2,20146,149767,5,Male,East,Health
Jeevan Shanti,34,Business,189671,Diploma,Widowed,10,49745,467865,3,Other,East,Health
Jeevan Shanti,61,Retired,172454,Post Graduate,Divorced,29,40243,106928,1,Other,South,Commercial
Jeevan Umang,61,Retired,113910,Post Graduate,Divorced,12,15791,271347,8,Female,North,Motor
Jeevan Anand,56,Student,186113,High School,Divorced,6,5956,305382,3,Female,South,Personal Accident
Jeevan Lakshya,24,Teacher,32195,Post Graduate,Widowed,12,24816,428168,1,Female,West,Personal Accident
Jeevan Arogya,24,Teacher,36121,Doctorate,Married,16,20159,109114,4,Female,North,Health
Jeevan Umang,45,Student,184488,High School,Married,22,18496,135920,10,Male,East,Life
Jeevan Anand,56,Retired,70434,Graduate,Married,1,10348,264618,7,Female,South,Life
Jeevan Amar,41,Unemployed,158523,Diploma,Single,2,10081,200367,2,Male,South,Motor
Jeevan Amar,49,Unemployed,174686,Graduate,Married,26,8125,415701,2,Female,East,Commercial
Jeevan Arogya,35,Retired,53421,Diploma,Widowed,3,18702,343665,4,Other,South,Life
Jeevan Anand,51,Teacher,93802,Doctorate,Married,25,47209,247309,2,Other,South,Life
Jeevan Lakshya,23,Teacher,101122,Post Graduate,Widowed,14,39700,168127,4,Female,West,Health
Jeevan Lakshya,59,Business,152365,Post Graduate,Single,11,45494,484289,5,Other,East,Personal Accident
Jeevan Shanti,31,Business,161242,Post Graduate,Single,5,18304,320024,6,Female,South,Agricultural
Jeevan Arogya,62,Engineer,193154,Post Graduate,Married,2,38392,149368,10,Other,East,Agricultural
Jeevan Shanti,50,Doctor,193167,Diploma,Married,25,36778,158127,6,Female,East,Travel
Jeevan Tarun,45,Farmer,143233,Diploma,Married,13,43287,375122,8,Male,South,Travel
Jeevan Arogya,50,Student,132111,Diploma,Widowed,11,6634,329143,4,Female,South,Life
Jeevan Umang,33,Student,93445,Doctorate,Married,22,40516,322259,4,Other,South,Agricultural
Jeevan Anand,37,Teacher,143208,Diploma,Widowed,3,28068,397058,8,Other,South,Motor
Jeevan Rakshak,46,Engineer,103778,Graduate,Single,13,21564,201729,5,Male,North,Home
Jeevan Umang,63,Farmer,191798,Graduate,Married,22,17571,308228,9,Female,Central,Home
Jeevan Shanti,55,Business,151630,Graduate,Divorced,12,20012,369516,9,Other,Central,Life
Jeevan Rakshak,28,Engineer,61289,Post Graduate,Divorced,4,6945,406297,10,Female,Central,Health
Jeevan Labh,22,Engineer,176615,Post Graduate,Single,29,7438,468153,2,Male,East,Commercial
Jeevan Labh,25,Engineer,88978,Post Graduate,Single,28,44229,258789,1,Female,Central,Commercial
Jeevan Arogya,58,Business,105211,Post Graduate,Married,28,22430,352278,8,Other,East,Home
Jeevan Arogya,32,Retired,121879,Diploma,Divorced,6,45583,233273,3,Male,South,Life
Jeevan Rakshak,22,Business,173798,Doctorate,Married,28,42216,323671,7,Other,South,Travel
Jeevan Labh,33,Business,95768,Doctorate,Divorced,21,26428,242113,1,Female,North,Health
Jeevan Nidhi,57,Business,170032,High School,Married,2,44298,198187,7,Female,Central,Health
Jeevan Tarun,37,Retired,118573,Graduate,Single,15,11753,207425,3,Other,East,Personal Accident
Jeevan Tarun,51,Farmer,62961,Doctorate,Divorced,9,16358,110844,10,Female,East,Home
Jeevan Shanti,57,Retired,53078,Doctorate,Single,27,47794,160193,1,Female,North,Motor
Jeevan Umang,57,Farmer,133529,Post Graduate,Married,8,32354,471930,10,Other,East,Personal Accident
Jeevan Amar,24,Doctor,40239,Post Graduate,Widowed,4,14435,106856,1,Female,Central,Life
Jeevan Umang,34,Engineer,106133,Graduate,Divorced,3,42336,125425,7,Female,South,Agricultural
Jeevan Shanti,35,Farmer,130012,High School,Married,20,39755,485921,3,Female,Central,Personal Accident
Jeevan Tarun,55,Retired,168828,High School,Single,4,48122,238912,10,Female,South,Agricultural
Jeevan Lakshya,22,Doctor,35154,Diploma,Married,13,37274,445996,9,Other,South,Life
Jeevan Nidhi,28,Retired,36621,Post Graduate,Single,10,16727,351891,9,Female,West,Life
Jeevan Arogya,55,Farmer,45972,Post Graduate,Single,24,22939,160164,1,Male,North,Health
Jeevan Arogya,48,Engineer,174590,Doctorate,Married,2,49684,392676,8,Female,East,Home
Jeevan Nidhi,64,Engineer,137824,Graduate,Divorced,9,15207,390463,5,Other,Central,Agricultural
Jeevan Arogya,65,Retired,102133,Doctorate,Divorced,11,41917,346365,10,Other,West,Health
Jeevan Rakshak,57,Engineer,72576,High School,Married,5,16708,230780,1,Female,West,Agricultural
Jeevan Anand,22,Retired,156241,Post Graduate,Married,10,36196,412243,10,Female,West,Personal Accident
Jeevan Tarun,63,Engineer,172758,Post Graduate,Single,25,7291,129195,7,Other,West,Agricultural
Jeevan Labh,19,Business,47718,Diploma,Divorced,1,9321,125707,6,Male,North,Home
Jeevan Tarun,23,Unemployed,86001,Post Graduate,Divorced,8,38520,119097,6,Female,South,Agricultural
Jeevan Rakshak,64,Student,169329,Diploma,Married,6,29324,235445,2,Female,East,Commercial
Jeevan Amar,38,Doctor,45138,Diploma,Divorced,29,40377,421261,8,Female,South,Travel
Jeevan Shanti,48,Unemployed,159528,Diploma,Widowed,4,28964,158864,9,Male,South,Travel
Jeevan Nidhi,60,Doctor,96683,Graduate,Widowed,2,48369,328393,4,Other,North,Health
Jeevan Labh,53,Doctor,42297,High School,Married,24,9423,146147,9,Male,Central,Home
Jeevan Shanti,36,Retired,192327,Diploma,Widowed,15,34367,447769,7,Other,South,Commercial
Jeevan Lakshya,36,Retired,174684,Doctorate,Single,9,23192,330639,9,Other,East,Agricultural
Jeevan Amar,62,Business,157453,Graduate,Single,6,40086,250515,10,Female,East,Motor
Jeevan Umang,36,Farmer,75974,Graduate,Married,23,37386,289255,8,Male,West,Health
Jeevan Arogya,40,Engineer,109255,High School,Single,4,17520,291181,8,Male,South,Commercial
Jeevan Tarun,30,Teacher,56793,High School,Married,19,38313,178557,5,Female,West,Life
Jeevan Tarun,18,Student,81390,Doctorate,Single,18,15190,249068,7,Male,West,Commercial
Jeevan Lakshya,19,Doctor,48092,High School,Single,19,40241,397153,3,Male,West,Life
Jeevan Nidhi,52,Retired,163206,High School,Divorced,3,20877,360129,7,Male,Central,Commercial
Jeevan Labh,54,Business,88552,Post Graduate,Single,29,16603,258257,7,Male,Central,Motor
Jeevan Lakshya,48,Doctor,57455,High School,Widowed,20,41790,211273,8,Male,Central,Life
Jeevan Nidhi,59,Teacher,54233,Diploma,Divorced,16,49121,267974,9,Male,Central,Home
Jeevan Labh,47,Engineer,59064,High School,Married,25,44635,172231,8,Other,South,Home
Jeevan Amar,55,Business,90741,Diploma,Single,10,28094,358005,9,Male,North,Agricultural
Jeevan Shanti,21,Unemployed,41873,High School,Single,21,43134,462848,5,Male,Central,Commercial
Jeevan Umang,27,Business,194190,Post Graduate,Widowed,18,8757,102176,10,Other,North,Motor
Jeevan Tarun,27,Retired,136493,Graduate,Single,11,20690,206741,7,Female,West,Motor
Jeevan Arogya,51,Retired,176551,Diploma,Divorced,8,40737,491869,5,Male,South,Life
Jeevan Tarun,59,Teacher,71223,High School,Divorced,6,44788,479839,6,Other,North,Motor
Jeevan Lakshya,62,Doctor,58872,Graduate,Divorced,2,9885,485611,7,Other,West,Health
Jeevan Shanti,28,Farmer,74546,Doctorate,Married,21,46079,296314,7,Other,North,Health
Jeevan Arogya,62,Teacher,167766,Doctorate,Widowed,9,37554,418493,2,Other,West,Motor
Jeevan Umang,59,Doctor,172045,Diploma,Divorced,10,35302,153790,10,Male,North,Commercial
Jeevan Lakshya,34,Retired,135100,Diploma,Married,13,44854,194525,1,Male,North,Life
Jeevan Labh,19,Unemployed,191072,Diploma,Divorced,7,24427,410930,6,Female,Central,Home
Jeevan Amar,31,Engineer,143585,Doctorate,Married,5,35589,291549,2,Other,East,Travel
Jeevan Amar,59,Student,198873,Post Graduate,Married,12,48130,483458,2,Other,North,Home
Jeevan Labh,20,Doctor,181684,Post Graduate,Divorced,18,19074,130014,10,Other,North,Home
Jeevan Tarun,64,Teacher,74087,Graduate,Married,4,5478,237195,9,Female,East,Travel
Jeevan Nidhi,53,Retired,58775,Graduate,Widowed,10,24107,319828,2,Other,North,Home
Jeevan Umang,64,Engineer,51383,Graduate,Widowed,26,41617,175154,7,Other,West,Health
Jeevan Labh,18,Business,53817,Graduate,Single,22,45343,260838,9,Female,East,Home
