Policy_ID,Policy_Name,Policy_Type,Customer_ID,Customer_Age,Gender,Region,Occupation,Marital_Status,Annual_Premium,Policy_Start_Date,Tenure,Coverage_Amount,Payment_Frequency,Claims_Made,Total_Claim_Amount,Last_Claim_Amount,Last_Claim_Date,Customer_Satisfaction_Level,Policy_Status,Renewal,Number_of_Beneficiaries,Sales_Channel,Policy_Modifications,Policy_Duration_Days,Claim_Frequency,Average_Claim_Amount,Claim_Status,Premium_to_Claim_Ratio,Is_Loyal_Customer,Is_High_Value_Customer,Is_Family_Policy,Risk_Score,Last_Claim_Season,Life_Stage
POL1000,Jeevan Tarun,Motor,CUST10000,61.0,Female,South,Unemployed,Married,31938.32,1997-03-17,2,1818191.26,Quarterly,4.0,187303.38,12915.786978611965,2018-12-08,1,Active,No,2,Online,2.0,2049,0.7125427037579307,46825.845,Normal,0.17051651710716592,1,0,1,33.365414202049784,Winter,Senior
POL1001,Jeevan Tarun,Personal Accident,CUST10001,29.0,Female,East,Salaried,Married,5968.09,2002-06-12,28,1097989.06,Annually,2.0,115362.12,19196.106864005316,2015-11-27,1,Active,Yes,4,Agent,2.0,3156,0.23130544993662863,57681.06,Normal,0.05173353263618942,1,0,1,13.34194353612167,Fall,Young Family
POL1002,Jeevan Anand,Health,CUST10002,79.0,Male,East,Self-employed,Widowed,48676.01,2021-05-26,24,335073.1,Quarterly,1.0,139872.16,32094.27202462802,2017-07-15,3,Active,Yes,2,Agent,1.0,2560,0.142578125,139872.16,Normal,0.3480035626818089,1,1,1,19.9427103125,Summer,Senior
POL1003,Jeevan Labh,Travel,CUST10003,48.0,Other,South,Retired,Married,23263.0,1994-07-21,25,1193595.61,Annually,0.0,76549.51,32388.57663609338,2015-12-30,7,Active,No,4,Agent,2.0,3123,0.0,76549.51,Claim_Without_Count,0.3038948257147564,1,0,1,0.0,Winter,Established Adult
POL1004,Jeevan Lakshya,Life,CUST10004,21.0,Female,West,Salaried,Single,27209.545,1995-03-19,5,1327263.43,Quarterly,3.0,117513.39,25473.70519632605,2019-10-31,5,Lapsed,No,0,Broker,1.0,1722,0.6358885017421603,39171.13,Normal,0.23154420955773633,0,0,0,24.908471167247384,Fall,Young Single
POL1005,Jeevan Lakshya,Agricultural,CUST10005,57.0,Other,Central,Retired,Widowed,11311.73,2010-09-27,14,2948614.57,Monthly,2.0,142264.2,19030.792766285547,2023-09-28,10,Lapsed,No,1,Broker,1.0,294,2.4829931972789114,71132.1,Normal,0.07951213305947666,0,0,0,176.6205204081633,Fall,Other
POL1006,Jeevan Amar,Agricultural,CUST10006,61.0,Female,Central,Retired,Single,27209.545,1994-08-23,22,1229094.01,Annually,3.0,128853.36,19030.792766285547,2018-04-19,1,Lapsed,Yes,2,Broker,2.0,2282,0.47984224364592465,42951.12,Normal,0.21116674799943128,1,0,1,20.609761787905345,Spring,Senior
POL1007,Jeevan Labh,Commercial,CUST10007,37.0,Female,East,Unemployed,Single,24420.21,1998-11-05,17,1238594.81,Monthly,2.0,63608.04,24060.905250060918,2016-05-31,1,Terminated,Yes,1,Online,0.0,2970,0.2457912457912458,31804.02,Normal,0.38391703312977415,1,0,0,7.817149696969698,Spring,Other
POL1008,Jeevan Lakshya,Home,CUST10008,23.0,Male,North,Self-employed,Widowed,27209.545,1998-02-07,26,1757161.56,Quarterly,3.0,46311.43,45710.14973771488,2019-03-02,3,Active,Yes,1,Broker,0.0,1965,0.5572519083969466,15437.143333333333,Normal,0.5875341141484942,1,0,0,8.602377582697201,Spring,Other
POL1009,Jeevan Anand,Agricultural,CUST10009,62.0,Male,East,Unemployed,Widowed,8878.42,1994-07-17,10,3312500.77,Monthly,3.0,290599.92,17598.7208439886,2018-06-28,10,Terminated,No,0,Agent,1.0,2212,0.4950271247739602,96866.64,Normal,0.030552038692921873,1,0,0,47.951614285714285,Summer,Senior
POL1010,Jeevan Anand,Travel,CUST10010,22.0,Other,West,Self-employed,Married,24183.27,2004-10-02,2,2023861.6,Semi-Annually,3.0,43790.13,39902.48173154526,2016-04-09,6,Terminated,No,3,Broker,1.0,3022,0.3623428193249503,14596.71,Normal,0.5522538983099616,1,0,1,5.289013054268696,Spring,Other
